time;speed;acc
37.12;0.14;0.31
37.18;0.16;0.36
37.24;0.18;0.41
37.29;0.21;0.46
37.35;0.25;0.49
37.40;0.30;0.49
37.46;0.33;0.48
37.51;0.37;0.43
37.57;0.40;0.36
37.62;0.41;0.28
37.68;0.42;0.17
37.73;0.43;0.07
37.79;0.42;-0.03
37.84;0.41;-0.12
37.89;0.39;-0.18
37.95;0.36;-0.20
38.01;0.33;-0.19
38.06;0.31;-0.14
38.12;0.29;-0.07
38.17;0.28;0.03
38.23;0.29;0.13
38.28;0.32;0.23
38.34;0.35;0.32
38.39;0.39;0.39
38.45;0.43;0.44
38.50;0.46;0.46
38.56;0.49;0.46
38.61;0.50;0.43
38.67;0.53;0.39
38.72;0.55;0.34
38.78;0.57;0.28
38.83;0.59;0.22
38.88;0.60;0.16
38.94;0.60;0.11
39.00;0.60;0.08
39.05;0.59;0.07
39.11;0.58;0.08
39.16;0.57;0.12
39.22;0.57;0.17
39.27;0.58;0.22
39.33;0.60;0.27
39.38;0.64;0.30
39.44;0.67;0.28
39.49;0.71;0.23
39.55;0.75;0.15
39.60;0.77;0.03
39.66;0.76;-0.09
39.71;0.74;-0.19
39.77;0.69;-0.27
39.82;0.62;-0.29
39.88;0.57;-0.27
39.93;0.54;-0.19
39.99;0.53;-0.09
40.04;0.54;0.03
40.10;0.58;0.13
40.15;0.63;0.20
40.21;0.67;0.22
40.26;0.71;0.19
40.32;0.73;0.10
40.37;0.73;-0.03
40.43;0.72;-0.19
40.48;0.69;-0.34
40.54;0.64;-0.48
40.59;0.59;-0.58
40.64;0.54;-0.64
40.70;0.48;-0.65
40.76;0.43;-0.61
40.81;0.39;-0.53
40.87;0.36;-0.42
40.92;0.35;-0.30
40.98;0.34;-0.17
41.03;0.35;-0.06
41.09;0.37;0.03
41.14;0.38;0.09
41.20;0.41;0.11
41.25;0.43;0.10
41.31;0.44;0.07
41.36;0.45;0.02
41.42;0.44;-0.02
41.47;0.42;-0.05
41.53;0.39;-0.06
41.58;0.37;-0.03
41.63;0.36;0.02
41.69;0.35;0.10
41.75;0.37;0.18
41.80;0.39;0.27
41.86;0.43;0.35
41.91;0.47;0.39
41.97;0.51;0.41
42.02;0.54;0.40
42.08;0.57;0.36
42.13;0.59;0.30
42.19;0.60;0.24
42.24;0.60;0.19
42.30;0.59;0.14
42.35;0.58;0.12
42.41;0.57;0.10
42.46;0.57;0.09
42.52;0.59;0.08
42.57;0.61;0.06
42.62;0.64;0.03
42.68;0.65;-0.02
42.74;0.65;-0.07
42.79;0.64;-0.12
42.85;0.61;-0.15
42.90;0.57;-0.16
42.96;0.54;-0.13
43.01;0.51;-0.08
43.07;0.51;-0.00
43.12;0.52;0.07
43.18;0.55;0.14
43.23;0.59;0.17
43.29;0.63;0.17
43.34;0.66;0.11
43.39;0.67;0.01
43.45;0.67;-0.13
43.51;0.66;-0.28
43.56;0.62;-0.44
43.62;0.57;-0.58
43.67;0.51;-0.69
43.73;0.45;-0.76
43.78;0.39;-0.77
43.84;0.33;-0.74
43.89;0.29;-0.66
43.95;0.24;-0.53
44.00;0.22;-0.37
44.06;0.20;-0.19
44.11;0.20;-0.00
44.17;0.22;0.18
44.22;0.24;0.36
44.28;0.28;0.52
44.33;0.33;0.64
44.38;0.39;0.73
44.44;0.44;0.77
44.50;0.50;0.76
44.55;0.56;0.70
44.61;0.61;0.59
44.66;0.65;0.44
44.72;0.67;0.27
44.77;0.68;0.08
44.83;0.67;-0.10
44.88;0.64;-0.25
44.94;0.59;-0.36
44.99;0.53;-0.41
45.05;0.48;-0.40
45.10;0.43;-0.32
45.16;0.41;-0.19
45.21;0.40;-0.03
45.27;0.42;0.14
45.32;0.45;0.30
45.38;0.50;0.42
45.43;0.56;0.50
45.49;0.61;0.51
45.54;0.67;0.48
45.60;0.70;0.40
45.65;0.72;0.30
45.71;0.72;0.19
45.76;0.71;0.10
45.82;0.68;0.04
45.87;0.65;0.00
45.93;0.63;0.00
45.98;0.63;0.03
46.04;0.64;0.06
46.09;0.67;0.09
46.14;0.69;0.10
46.20;0.73;0.09
46.26;0.74;0.04
46.31;0.74;-0.03
46.37;0.74;-0.13
46.42;0.71;-0.22
46.48;0.68;-0.31
46.53;0.65;-0.36
46.59;0.61;-0.39
46.64;0.57;-0.37
46.70;0.54;-0.30
46.75;0.52;-0.20
46.81;0.50;-0.07
46.86;0.50;0.08
46.92;0.52;0.23
46.97;0.55;0.36
47.03;0.59;0.45
47.08;0.65;0.49
47.13;0.71;0.47
47.19;0.76;0.38
47.25;0.80;0.24
47.30;0.81;0.06
47.36;0.81;-0.14
47.41;0.77;-0.33
47.47;0.72;-0.49
47.52;0.65;-0.61
47.58;0.58;-0.66
47.63;0.52;-0.65
47.69;0.46;-0.56
47.74;0.43;-0.41
47.80;0.41;-0.22
47.85;0.41;0.00
47.91;0.43;0.22
47.96;0.46;0.42
48.02;0.51;0.58
48.07;0.57;0.67
48.12;0.65;0.68
48.18;0.72;0.60
48.24;0.79;0.43
